player_id,name,team,role,role_P,role_D,role_C,role_A,fvm,qta,ovr,prezzo_cons,titolarita_pct,titolarita,fragility_score,partite_saltate_tot,giorni_stop_tot,disponibilita_pct,recidive_muscolari,is_injured_initial,is_rigorista,is_oop,presenze_2526,mv_2526,fm_2526,xg90_2526,xa90_2526,rating_2526,presenze_2627,starts_2627,minuti_2627,gol_2627,assist_2627,tot_bonus_2627,tot_malus_2627,mv_2627,fm_2627,xg90_2627,xa90_2627,roi_fm_su_prezzo,target_fanta_media,target_gol,target_assist,target_minuti,target_roi_fvm
5751,Patterson,Torino,D,0,1,0,0,12.0,5.0,64.0,1.0,14.0,14.0,74.0,18,119,76.3,2,0,0,1,0,6.0,6.0,0.0,0.0,6.5,2,0,90,0,0,0.0,0.5,6.0,5.75,,,5.75,5.75,0,0,90,5.75
7240,Siebert,Lecce,D,0,1,0,0,12.0,4.0,64.0,1.0,87.0,87.0,49.0,11,99,85.5,0,0,0,0,21,5.71,5.79,0.02,0.01,6.65,5,4,419,0,0,0.0,0.5,5.4,5.3,0.04,0.07,5.3,5.3,0,0,419,5.3
4263,Kabasele,Udinese,D,0,1,0,0,12.0,4.0,64.0,1.0,47.0,47.0,5.0,0,0,100.0,0,0,0,0,30,5.98,6.17,0.05,0.0,6.78,3,2,231,0,0,0.0,0.0,5.0,5.0,0.19,0.02,5.0,5.0,0,0,231,5.0
4845,Correia T.,Venezia,D,0,1,0,0,12.0,5.0,63.0,1.0,54.0,54.0,94.0,45,382,40.8,2,0,0,1,0,6.0,6.0,0.02,0.12,6.72,4,2,200,0,0,0.0,0.5,6.12,6.0,0.11,0.05,6.0,6.0,0,0,200,6.0
5578,Kossounou,Atalanta,D,0,1,0,0,12.0,4.0,63.0,1.0,80.0,80.0,74.0,31,157,59.2,2,0,0,0,19,5.95,6.08,0.04,0.02,6.5,4,4,391,0,0,0.0,0.0,5.5,5.5,0.01,0.03,5.5,5.5,0,0,391,5.5
4378,Ranieri L.,Fiorentina,D,0,1,0,0,10.0,3.0,63.0,1.0,60.0,60.0,5.0,0,0,100.0,0,0,0,0,34,5.87,5.81,0.07,0.04,6.81,3,3,272,0,0,0.0,0.5,5.67,5.5,0.01,0.01,5.5,5.5,0,0,272,5.5
6659,Lucchesi,Monza,D,0,1,0,0,11.0,3.0,63.0,1.0,100.0,100.0,17.0,3,18,96.1,0,0,0,0,0,6.0,6.0,0.0,0.0,6.5,5,5,448,0,0,0.0,1.0,5.7,5.5,0.08,0.04,5.5,5.5,0,0,448,5.5
7537,Mitaj,Genoa,D,0,1,0,0,10.0,4.0,62.0,1.0,50.0,50.0,50.0,14,87,81.6,0,0,0,1,0,6.0,6.0,0.0,0.0,6.5,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
6896,Van Der Brempt,Sassuolo,D,0,1,0,0,11.0,2.0,62.0,1.0,50.0,50.0,74.0,15,131,80.3,2,0,0,1,20,5.98,5.98,0.02,0.11,6.5,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
7068,Vitik,Bologna,D,0,1,0,0,10.0,4.0,62.0,1.0,50.0,50.0,62.0,17,112,77.6,1,0,0,0,19,5.95,5.87,0.02,0.01,6.88,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
5820,Bertola,Udinese,D,0,1,0,0,10.0,4.0,62.0,1.0,21.0,21.0,25.0,5,36,93.4,0,0,0,0,28,5.88,5.86,0.03,0.04,6.78,3,0,70,0,0,0.0,0.5,5.83,5.67,,,5.67,5.67,0,0,70,5.67
6925,Palma,Udinese,D,0,1,0,0,11.0,3.0,62.0,1.0,20.0,20.0,77.0,12,80,84.2,1,0,0,0,5,5.6,5.6,0.0,0.0,6.5,1,1,49,0,0,0.0,0.0,6.5,6.5,,,6.5,6.5,0,0,49,6.5
5527,Zanoli,Udinese,D,0,1,0,0,10.0,4.0,62.0,1.0,7.0,7.0,70.0,25,259,67.1,0,0,0,1,19,6.05,6.29,0.01,0.07,6.94,1,0,23,0,0,0.0,0.0,6.5,6.5,,,6.5,6.5,0,0,23,6.5
5481,Mazzocchi,Venezia,D,0,1,0,0,10.0,1.0,62.0,1.0,50.0,50.0,74.0,13,80,82.9,2,0,0,1,16,5.97,5.97,0.0,0.0,6.5,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
7154,Odenthal,Sassuolo,D,0,1,0,0,8.0,3.0,61.0,1.0,20.0,20.0,5.0,0,2,100.0,0,0,0,0,1,6.0,6.0,0.0,0.0,6.5,1,1,97,1,0,3.0,0.0,7.0,10.0,,,10.0,10.0,1,0,97,10.0
4751,Tomori,Milan,D,0,1,0,0,8.0,6.0,61.0,1.0,50.0,50.0,5.0,0,0,100.0,0,0,0,0,33,5.97,5.88,0.02,0.03,6.97,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
4925,Carboni A.,Monza,D,0,1,0,0,9.0,3.0,61.0,1.0,100.0,100.0,25.0,5,46,93.4,0,0,0,0,0,6.0,6.0,0.0,0.0,6.5,5,5,473,0,0,0.0,0.0,5.7,5.7,0.1,0.06,5.7,5.7,0,0,473,5.7
6638,Marin R.,Napoli,D,0,1,0,0,8.0,2.0,61.0,1.0,100.0,100.0,5.0,0,0,100.0,0,0,0,0,11,5.5,5.36,0.0,0.0,6.5,5,5,481,0,0,0.0,0.5,5.5,5.4,0.04,0.01,5.4,5.4,0,0,481,5.4
6046,Hien,Atalanta,D,0,1,0,0,11.0,7.0,61.0,1.0,50.0,50.0,62.0,21,167,72.4,1,1,0,0,28,5.91,5.86,0.04,0.01,6.81,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
7605,Tchato,Frosinone,D,0,1,0,0,8.0,3.0,60.0,1.0,50.0,50.0,61.0,11,89,85.5,1,0,0,1,0,6.0,6.0,0.0,0.0,6.5,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
7532,Kofler,Cagliari,D,0,1,0,0,8.0,5.0,60.0,1.0,21.0,21.0,5.0,0,0,100.0,0,0,0,0,0,6.0,6.0,0.0,0.0,6.5,3,0,88,0,0,0.0,0.0,6.0,6.0,,,6.0,6.0,0,0,88,6.0
5603,Pongracic,Fiorentina,D,0,1,0,0,8.0,4.0,60.0,1.0,34.0,34.0,62.0,13,59,82.9,1,0,0,0,35,5.84,5.67,0.02,0.02,6.82,3,1,81,0,0,0.0,0.0,5.67,5.67,,,5.67,5.67,0,0,81,5.67
4374,Walukiewicz,Sassuolo,D,0,1,0,0,10.0,4.0,60.0,1.0,50.0,50.0,62.0,12,178,84.2,1,1,0,0,34,5.81,5.74,0.01,0.07,6.8,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
